uid;user_behavioral_profile;date;arrival_times;permanence_times;trajectory;sem_trajectory
1;0;09/10/17;[12, 12, 16, 22, 22];[5, 119, 176, 16, 4];[24, 18, 19, 49, 24];[7, 6, 0, 2, 7]
1;0;10/10/17;[32, 32, 35, 42];[17, 84, 220, 7];[27, 19, 18, 27];[7, 0, 6, 7]
1;0;11/10/17;[14, 14, 14, 22, 27, 28];[6, 18, 242, 153, 13, 3];[27, 53, 19, 54, 53, 27];[7, 4, 0, 3, 4, 7]
1;0;12/10/17;[34, 34, 45];[8, 323, 6];[27, 19, 27];[7, 0, 7]
1;0;13/10/17;[16, 16, 24, 25];[7, 234, 37, 7];[27, 19, 49, 27];[7, 0, 2, 7]
1;0;16/10/17;[14, 14, 21, 27];[8, 231, 177, 3];[24, 19, 54, 24];[7, 0, 3, 7]
1;0;17/10/17;[32, 32, 36, 36, 44];[7, 135, 5, 227, 10];[27, 19, 27, 19, 27];[7, 0, 7, 0, 7]
1;0;18/10/17;[12, 12, 12, 21, 26, 26];[4, 14, 266, 137, 16, 3];[27, 53, 19, 54, 53, 27];[7, 4, 0, 3, 4, 7]
1;0;19/10/17;[30, 30, 40];[8, 312, 11];[27, 19, 27];[7, 0, 7]
1;0;20/10/17;[16, 16, 26];[8, 307, 7];[27, 19, 27];[7, 0, 7]
1;0;23/10/17;[12, 12, 25];[3, 394, 5];[24, 19, 24];[7, 0, 7]
1;0;24/10/17;[32, 32, 35, 36, 44];[5, 109, 21, 239, 8];[27, 19, 27, 19, 27];[7, 0, 7, 0, 7]
1;0;25/10/17;[14, 14, 14, 23, 26, 27];[7, 5, 271, 94, 13, 5];[27, 53, 19, 54, 53, 27];[7, 4, 0, 3, 4, 7]
1;0;26/10/17;[32, 32, 35, 47];[11, 104, 346, 7];[27, 19, 42, 27];[7, 0, 5, 7]
1;0;27/10/17;[16, 16, 22, 23, 34];[9, 176, 43, 315, 5];[27, 19, 42, 19, 27];[7, 0, 5, 0, 7]
1;0;29/10/17;[20, 20, 20, 29, 30];[3, 8, 288, 20, 2];[24, 13, 11, 13, 24];[7, 4, 5, 4, 7]
1;0;30/10/17;[14, 14, 21, 24];[6, 213, 95, 8];[24, 19, 54, 24];[7, 0, 3, 7]
1;0;31/10/17;[34, 34, 38, 39];[9, 134, 35, 4];[27, 19, 18, 27];[7, 0, 6, 7]
1;0;01/11/17;[10, 10, 10, 25, 25];[5, 5, 452, 7, 6];[27, 53, 19, 53, 27];[7, 4, 0, 4, 7]
1;0;02/11/17;[34, 34, 44];[7, 304, 7];[27, 19, 27];[7, 0, 7]
1;0;03/11/17;[14, 14, 15, 27];[4, 41, 347, 2];[27, 54, 19, 27];[7, 3, 0, 7]
1;0;06/11/17;[14, 14, 27];[6, 411, 7];[24, 19, 24];[7, 0, 7]
1;0;07/11/17;[32, 32, 41];[9, 262, 5];[27, 19, 27];[7, 0, 7]
1;0;08/11/17;[14, 14, 14, 18, 24, 24];[4, 8, 134, 164, 9, 7];[27, 53, 19, 54, 53, 27];[7, 4, 0, 3, 4, 7]
1;0;09/11/17;[32, 32, 38];[6, 195, 7];[27, 19, 27];[7, 0, 7]
1;0;10/11/17;[16, 16, 18, 23];[7, 78, 149, 9];[27, 54, 54, 27];[7, 3, 3, 7]
1;0;13/11/17;[10, 10, 20];[4, 318, 3];[24, 19, 24];[7, 0, 7]
1;0;14/11/17;[32, 32, 39];[4, 228, 7];[27, 19, 27];[7, 0, 7]
1;0;15/11/17;[12, 12, 12, 23, 28, 28];[8, 3, 324, 151, 13, 9];[27, 53, 19, 54, 53, 27];[7, 4, 0, 3, 4, 7]
1;0;16/11/17;[36, 36, 47];[11, 327, 8];[27, 19, 27];[7, 0, 7]
1;0;17/11/17;[14, 14, 19, 21, 30];[7, 157, 52, 289, 5];[27, 19, 42, 19, 27];[7, 0, 5, 0, 7]
1;0;20/11/17;[14, 14, 18, 23, 30];[5, 136, 157, 203, 6];[24, 18, 19, 18, 24];[7, 6, 0, 6, 7]
1;0;21/11/17;[30, 30, 34, 38];[14, 135, 107, 8];[27, 19, 18, 27];[7, 0, 6, 7]
1;0;22/11/17;[12, 12, 12, 19, 23, 24];[7, 3, 218, 122, 17, 6];[27, 53, 19, 54, 53, 27];[7, 4, 0, 3, 4, 7]
1;0;23/11/17;[32, 32, 38];[9, 173, 7];[27, 19, 27];[7, 0, 7]
1;0;24/11/17;[16, 16, 27];[7, 338, 2];[27, 19, 27];[7, 0, 7]
1;0;27/11/17;[10, 10, 16, 21];[5, 199, 133, 3];[24, 19, 54, 24];[7, 0, 3, 7]
1;0;28/11/17;[32, 32, 40];[3, 264, 8];[27, 19, 27];[7, 0, 7]
1;0;29/11/17;[12, 12, 12, 23, 23];[8, 13, 322, 7, 7];[27, 53, 19, 53, 27];[7, 4, 0, 4, 7]
1;0;30/11/17;[34, 34, 40];[7, 190, 6];[27, 19, 27];[7, 0, 7]
1;0;01/12/17;[16, 16, 24, 26];[3, 251, 61, 2];[27, 19, 49, 27];[7, 0, 2, 7]
1;0;04/12/17;[10, 10, 13, 20];[3, 99, 224, 6];[24, 19, 54, 24];[7, 0, 3, 7]
1;0;05/12/17;[30, 30, 37];[3, 227, 8];[27, 19, 27];[7, 0, 7]
1;0;06/12/17;[12, 12, 12, 21, 23, 26, 26];[8, 17, 254, 76, 86, 7, 9];[27, 53, 19, 54, 49, 53, 27];[7, 4, 0, 3, 2, 4, 7]
1;0;07/12/17;[34, 34, 44];[7, 299, 6];[27, 19, 27];[7, 0, 7]
1;0;08/12/17;[18, 18, 24, 26, 35];[5, 203, 33, 288, 2];[27, 19, 49, 19, 27];[7, 0, 2, 0, 7]
1;0;11/12/17;[12, 12, 12, 17, 19, 26];[2, 19, 152, 63, 191, 2];[24, 18, 19, 49, 19, 24];[7, 6, 0, 2, 0, 7]
1;0;12/12/17;[30, 30, 35, 37, 44];[7, 166, 55, 193, 5];[27, 19, 18, 19, 27];[7, 0, 6, 0, 7]
1;0;13/12/17;[10, 10, 10, 19, 24, 24];[6, 2, 270, 158, 5, 9];[27, 53, 19, 54, 53, 27];[7, 4, 0, 3, 4, 7]
1;0;14/12/17;[32, 32, 42];[10, 308, 9];[27, 19, 27];[7, 0, 7]
1;0;15/12/17;[16, 16, 25, 33];[4, 276, 256, 7];[27, 54, 19, 27];[7, 3, 0, 7]
1;0;18/12/17;[10, 10, 13, 16, 23];[6, 103, 80, 204, 6];[24, 18, 42, 19, 24];[7, 6, 5, 0, 7]
1;0;19/12/17;[32, 32, 41];[8, 267, 5];[27, 19, 27];[7, 0, 7]
1;0;20/12/17;[12, 12, 12, 19, 24, 24];[7, 16, 192, 148, 3, 4];[27, 53, 19, 54, 53, 27];[7, 4, 0, 3, 4, 7]
1;0;21/12/17;[30, 30, 34, 41];[6, 121, 204, 9];[27, 19, 42, 27];[7, 0, 5, 7]
1;0;22/12/17;[18, 18, 22, 23, 34];[3, 123, 48, 329, 2];[27, 19, 49, 19, 27];[7, 0, 2, 0, 7]
1;0;11/01/18;[34, 34, 41];[11, 201, 6];[27, 19, 27];[7, 0, 7]
1;0;19/01/18;[16, 16, 21, 22, 32];[3, 173, 16, 293, 5];[27, 19, 49, 19, 27];[7, 0, 2, 0, 7]
1;0;13/02/18;[28, 28, 32, 32, 34, 40];[9, 124, 2, 58, 193, 7];[27, 19, 27, 19, 18, 27];[7, 0, 7, 0, 6, 7]
1;0;26/02/18;[8, 8, 13, 18];[4, 146, 150, 8];[24, 19, 54, 24];[7, 0, 3, 7]
1;0;01/03/18;[34, 34, 42];[11, 235, 10];[27, 18, 27];[7, 6, 7]
1;0;02/03/18;[16, 16, 17, 21, 22, 24, 28];[3, 31, 128, 32, 51, 123, 4];[27, 49, 54, 25, 49, 18, 27];[7, 2, 3, 1, 2, 6, 7]
1;0;05/03/18;[8, 8, 8, 10, 16];[5, 6, 61, 196, 4];[24, 53, 25, 54, 24];[7, 4, 1, 3, 7]
1;0;06/03/18;[26, 26, 28, 37];[3, 76, 253, 5];[27, 12, 19, 27];[7, 1, 0, 7]
1;0;07/03/18;[16, 16, 16, 17, 24, 24];[4, 10, 28, 204, 12, 7];[27, 53, 18, 19, 53, 27];[7, 4, 6, 0, 4, 7]
1;0;08/03/18;[34, 34, 35, 39, 40];[10, 49, 97, 40, 7];[27, 42, 19, 25, 27];[7, 5, 0, 1, 7]
1;0;09/03/18;[12, 12, 21];[4, 272, 6];[27, 19, 27];[7, 0, 7]
1;0;12/03/18;[6, 6, 12];[6, 196, 6];[24, 54, 24];[7, 3, 7]
1;0;13/03/18;[24, 24, 29, 32];[3, 151, 115, 2];[27, 12, 18, 27];[7, 1, 6, 7]
1;0;14/03/18;[20, 20, 20, 22, 24, 26, 31, 31];[5, 9, 75, 56, 51, 145, 5, 8];[27, 53, 49, 54, 42, 25, 53, 27];[7, 4, 2, 3, 5, 1, 4, 7]
1;0;15/03/18;[36, 36, 38, 46];[10, 61, 258, 10];[27, 25, 42, 27];[7, 1, 5, 7]
1;0;16/03/18;[14, 14, 16, 18, 18, 29];[4, 63, 68, 13, 326, 4];[27, 49, 49, 18, 42, 27];[7, 2, 2, 6, 5, 7]
1;0;19/03/18;[6, 6, 20];[2, 430, 4];[24, 42, 24];[7, 5, 7]
1;0;20/03/18;[22, 22, 23, 30];[2, 36, 222, 2];[27, 49, 19, 27];[7, 2, 0, 7]
1;0;21/03/18;[16, 16, 16, 18, 25, 26, 28, 28];[9, 15, 40, 206, 57, 42, 12, 7];[27, 53, 42, 19, 42, 25, 53, 27];[7, 4, 5, 0, 5, 1, 4, 7]
1;0;22/03/18;[34, 34, 37, 37, 40];[20, 77, 12, 81, 8];[27, 49, 27, 42, 27];[7, 2, 7, 5, 7]
1;0;23/03/18;[14, 14, 19, 25];[2, 149, 184, 3];[27, 19, 42, 27];[7, 0, 5, 7]
1;0;26/03/18;[4, 4, 8, 8, 12];[9, 122, 9, 125, 6];[24, 54, 53, 19, 24];[7, 3, 4, 0, 7]
1;0;27/03/18;[24, 24, 28, 34];[4, 133, 173, 5];[27, 12, 42, 27];[7, 1, 5, 7]
1;0;28/03/18;[20, 20, 20, 25, 27, 32, 32];[5, 19, 132, 79, 127, 11, 5];[27, 53, 19, 54, 25, 53, 27];[7, 4, 0, 3, 1, 4, 7]
1;0;29/03/18;[36, 36, 46];[19, 307, 8];[27, 19, 27];[7, 0, 7]
1;0;30/03/18;[12, 12, 15, 19, 24];[5, 89, 117, 156, 2];[27, 19, 54, 19, 27];[7, 0, 3, 0, 7]
1;0;02/04/18;[6, 6, 6, 13];[7, 17, 198, 7];[24, 49, 42, 24];[7, 2, 5, 7]
1;0;03/04/18;[20, 20, 22, 23, 28];[9, 57, 32, 166, 2];[27, 19, 12, 42, 27];[7, 0, 1, 5, 7]
1;0;04/04/18;[20, 20, 20, 22, 28, 33, 33];[6, 13, 60, 180, 132, 17, 5];[27, 53, 49, 18, 25, 53, 27];[7, 4, 2, 6, 1, 4, 7]
1;0;05/04/18;[32, 32, 35, 46];[8, 104, 327, 8];[27, 25, 19, 27];[7, 1, 0, 7]
1;0;06/04/18;[14, 14, 22];[16, 229, 6];[27, 19, 27];[7, 0, 7]
1;0;09/04/18;[6, 6, 6, 10, 16];[6, 9, 132, 167, 6];[24, 53, 19, 54, 24];[7, 4, 0, 3, 7]
1;0;10/04/18;[22, 22, 31];[2, 284, 7];[27, 19, 27];[7, 0, 7]
1;0;11/04/18;[16, 16, 16, 18, 18, 20, 23, 38, 38];[6, 9, 69, 4, 52, 83, 458, 5, 4];[27, 53, 18, 27, 49, 42, 19, 53, 27];[7, 4, 6, 7, 2, 5, 0, 4, 7]
1;0;12/04/18;[36, 36, 36, 36, 39, 40, 43];[10, 4, 8, 81, 35, 101, 13];[27, 53, 27, 49, 49, 19, 27];[7, 4, 7, 2, 2, 0, 7]
1;0;13/04/18;[16, 16, 21, 21, 22];[4, 166, 4, 35, 5];[27, 18, 53, 25, 27];[7, 6, 4, 1, 7]
1;0;16/04/18;[6, 6, 6, 14];[4, 6, 248, 4];[24, 27, 19, 24];[7, 7, 0, 7]
1;0;17/04/18;[24, 24, 28, 31, 34];[7, 140, 71, 110, 4];[27, 12, 19, 42, 27];[7, 1, 0, 5, 7]
1;0;18/04/18;[18, 18, 18, 24, 36, 36];[10, 10, 182, 355, 11, 5];[27, 53, 42, 19, 53, 27];[7, 4, 5, 0, 4, 7]
1;0;19/04/18;[34, 34, 35, 35, 44];[10, 44, 2, 247, 11];[27, 25, 53, 19, 27];[7, 1, 4, 0, 7]
1;0;20/04/18;[18, 18, 24, 26, 38];[6, 196, 38, 389, 4];[27, 19, 49, 42, 27];[7, 0, 2, 5, 7]
1;0;23/04/18;[6, 6, 14];[9, 244, 4];[24, 19, 24];[7, 0, 7]
1;0;24/04/18;[20, 20, 28];[5, 264, 7];[27, 19, 27];[7, 0, 7]
1;0;25/04/18;[18, 18, 18, 22, 35, 35];[10, 11, 117, 383, 18, 9];[27, 53, 42, 19, 53, 27];[7, 4, 5, 0, 4, 7]
1;0;26/04/18;[32, 32, 35, 40];[11, 101, 147, 11];[27, 54, 42, 27];[7, 3, 5, 7]
1;0;27/04/18;[16, 16, 16, 18, 30];[3, 8, 70, 343, 3];[27, 53, 54, 42, 27];[7, 4, 3, 5, 7]
1;0;30/04/18;[4, 4, 15];[2, 341, 3];[24, 18, 24];[7, 6, 7]
1;0;01/05/18;[22, 22, 27, 28, 34];[3, 162, 43, 154, 5];[27, 19, 12, 19, 27];[7, 0, 1, 0, 7]
1;0;02/05/18;[16, 16, 16, 19, 20, 26, 29, 29];[10, 19, 68, 25, 190, 94, 8, 10];[27, 53, 49, 49, 19, 25, 53, 27];[7, 4, 2, 2, 0, 1, 4, 7]
1;0;03/05/18;[30, 30, 33, 39];[8, 83, 181, 11];[27, 54, 19, 27];[7, 3, 0, 7]
1;0;04/05/18;[16, 16, 18, 21, 22];[5, 64, 106, 7, 6];[27, 49, 54, 53, 27];[7, 2, 3, 4, 7]
1;0;07/05/18;[4, 4, 10, 12];[11, 188, 57, 6];[24, 19, 49, 24];[7, 0, 2, 7]
1;0;08/05/18;[22, 22, 22, 23, 25, 28, 32];[3, 6, 40, 58, 76, 119, 2];[27, 53, 12, 19, 12, 25, 27];[7, 4, 1, 0, 1, 1, 7]
1;0;09/05/18;[18, 18, 18, 34, 34];[8, 19, 467, 9, 9];[27, 53, 19, 53, 27];[7, 4, 0, 4, 7]
1;0;10/05/18;[32, 32, 34, 43];[22, 43, 279, 10];[27, 49, 19, 27];[7, 2, 0, 7]
1;0;11/05/18;[14, 14, 19, 20, 32];[6, 166, 31, 360, 6];[27, 19, 49, 42, 27];[7, 0, 2, 5, 7]
1;0;14/05/18;[8, 8, 11, 11, 25];[6, 107, 3, 420, 8];[24, 19, 24, 42, 24];[7, 0, 7, 5, 7]
1;0;15/05/18;[22, 22, 26, 29];[2, 147, 90, 2];[27, 19, 12, 27];[7, 0, 1, 7]
1;0;16/05/18;[16, 16, 16, 19, 27, 30, 30];[7, 3, 104, 236, 84, 10, 6];[27, 53, 42, 19, 25, 53, 27];[7, 4, 5, 0, 1, 4, 7]
1;0;17/05/18;[32, 32, 37];[12, 153, 12];[27, 19, 27];[7, 0, 7]
1;0;18/05/18;[16, 16, 21, 23, 30];[3, 161, 69, 201, 2];[27, 19, 49, 19, 27];[7, 0, 2, 0, 7]
1;0;21/05/18;[6, 6, 15];[4, 271, 3];[24, 42, 24];[7, 5, 7]
1;0;22/05/18;[24, 24, 29, 30, 32];[7, 166, 13, 73, 7];[27, 12, 49, 12, 27];[7, 1, 2, 1, 7]
1;0;23/05/18;[16, 16, 16, 31, 31];[5, 17, 430, 2, 3];[27, 53, 19, 53, 27];[7, 4, 0, 4, 7]
1;0;24/05/18;[34, 34, 34, 34, 42];[8, 19, 2, 224, 12];[27, 25, 53, 19, 27];[7, 1, 4, 0, 7]
1;0;25/05/18;[14, 14, 14, 15, 16, 16, 20, 29];[6, 14, 23, 24, 2, 117, 279, 3];[27, 49, 18, 25, 27, 42, 19, 27];[7, 2, 6, 1, 7, 5, 0, 7]
1;0;28/05/18;[8, 8, 8, 10, 10, 15];[6, 8, 59, 5, 153, 5];[24, 27, 49, 24, 18, 24];[7, 7, 2, 7, 6, 7]
1;0;29/05/18;[22, 22, 24, 24, 28];[7, 56, 9, 132, 7];[27, 54, 53, 12, 27];[7, 3, 4, 1, 7]
1;0;30/05/18;[16, 16, 16, 18, 31, 31];[4, 14, 49, 384, 14, 9];[27, 53, 54, 19, 53, 27];[7, 4, 3, 0, 4, 7]
1;0;31/05/18;[32, 32, 33, 36];[12, 39, 96, 8];[27, 49, 49, 27];[7, 2, 2, 7]
1;0;05/06/18;[22, 22, 27, 29];[6, 164, 40, 7];[27, 42, 12, 27];[7, 5, 1, 7]
1;0;13/06/18;[16, 16, 16, 18, 27, 27];[3, 3, 65, 274, 13, 6];[27, 53, 49, 19, 53, 27];[7, 4, 2, 0, 4, 7]
1;0;11/07/18;[14, 14, 14, 15, 20, 21, 21, 23, 25, 30, 30];[5, 20, 28, 132, 25, 7, 69, 55, 153, 14, 7];[27, 53, 27, 42, 49, 53, 49, 49, 18, 53, 27];[7, 4, 7, 5, 2, 4, 2, 2, 6, 4, 7]
1;0;23/07/18;[6, 6, 6, 19];[5, 15, 391, 8];[24, 49, 19, 24];[7, 2, 0, 7]
1;0;26/07/18;[30, 30, 40];[9, 314, 10];[27, 42, 27];[7, 5, 7]
1;0;31/07/18;[20, 20, 26, 29];[7, 175, 102, 7];[27, 42, 12, 27];[7, 5, 1, 7]
2;0;01/09/17;[20, 20, 22, 31];[11, 66, 272, 8];[27, 51, 32, 27];[7, 2, 0, 7]
2;0;04/09/17;[14, 14, 19, 25];[12, 144, 196, 6];[27, 32, 54, 27];[7, 0, 3, 7]
2;0;05/09/17;[30, 30, 32, 35];[5, 81, 76, 12];[24, 32, 18, 24];[7, 0, 6, 7]
2;0;06/09/17;[14, 14, 14, 22, 28, 28];[4, 10, 255, 166, 5, 9];[27, 34, 32, 31, 34, 27];[7, 4, 0, 0, 4, 7]
2;0;07/09/17;[32, 32, 37];[7, 156, 15];[27, 32, 27];[7, 0, 7]
2;0;08/09/17;[20, 20, 31];[15, 340, 15];[27, 32, 27];[7, 0, 7]
2;0;11/09/17;[12, 12, 18, 23];[11, 172, 175, 5];[27, 32, 54, 27];[7, 0, 3, 7]
2;0;12/09/17;[32, 32, 41];[3, 270, 5];[24, 32, 24];[7, 0, 7]
2;0;13/09/17;[12, 12, 12, 24, 24];[9, 4, 362, 14, 6];[27, 34, 32, 34, 27];[7, 4, 0, 4, 7]
2;0;14/09/17;[32, 32, 37, 39];[9, 158, 45, 11];[27, 32, 33, 27];[7, 0, 1, 7]
2;0;15/09/17;[16, 16, 18, 24, 33];[8, 60, 195, 248, 15];[27, 51, 18, 32, 27];[7, 2, 6, 0, 7]
2;0;17/09/17;[16, 16, 16, 28, 28];[5, 16, 342, 5, 9];[27, 53, 43, 53, 27];[7, 4, 5, 4, 7]
2;0;18/09/17;[12, 12, 22];[3, 315, 4];[27, 32, 27];[7, 0, 7]
2;0;19/09/17;[30, 30, 40];[10, 301, 4];[24, 32, 24];[7, 0, 7]
2;0;20/09/17;[14, 14, 14, 28, 28];[9, 7, 411, 7, 7];[27, 34, 32, 34, 27];[7, 4, 0, 4, 7]
2;0;21/09/17;[28, 28, 33];[14, 152, 6];[27, 32, 27];[7, 0, 7]
2;0;22/09/17;[16, 16, 22, 23, 28];[15, 179, 20, 160, 8];[27, 32, 51, 32, 27];[7, 0, 2, 0, 7]
2;0;25/09/17;[14, 14, 26];[10, 359, 7];[27, 32, 27];[7, 0, 7]
2;0;26/09/17;[30, 30, 34, 41];[10, 132, 201, 5];[24, 32, 54, 24];[7, 0, 3, 7]
2;0;27/09/17;[14, 14, 14, 25, 26];[8, 13, 333, 11, 5];[27, 34, 32, 34, 27];[7, 4, 0, 4, 7]
2;0;28/09/17;[30, 30, 42];[9, 367, 14];[27, 32, 27];[7, 0, 7]
2;0;29/09/17;[16, 16, 23, 24, 33];[12, 201, 50, 265, 9];[27, 32, 51, 43, 27];[7, 0, 2, 5, 7]
2;0;02/10/17;[14, 14, 20, 24];[4, 181, 123, 12];[27, 32, 54, 27];[7, 0, 3, 7]
2;0;03/10/17;[30, 30, 35, 39];[9, 163, 126, 4];[24, 32, 54, 24];[7, 0, 3, 7]
2;0;04/10/17;[16, 16, 16, 25, 37, 38];[5, 15, 260, 376, 6, 10];[27, 34, 32, 31, 34, 27];[7, 4, 0, 0, 4, 7]
2;0;05/10/17;[28, 28, 35];[8, 214, 9];[27, 32, 27];[7, 0, 7]
2;0;06/10/17;[18, 18, 28];[6, 295, 15];[27, 32, 27];[7, 0, 7]
2;0;09/10/17;[14, 14, 27];[23, 386, 4];[27, 32, 27];[7, 0, 7]
2;0;10/10/17;[32, 32, 34, 42];[9, 56, 243, 12];[24, 32, 18, 24];[7, 0, 6, 7]
2;0;11/10/17;[16, 16, 16, 31, 32];[6, 11, 456, 8, 6];[27, 34, 32, 34, 27];[7, 4, 0, 4, 7]
2;0;12/10/17;[28, 28, 38];[10, 291, 5];[27, 32, 27];[7, 0, 7]
2;0;13/10/17;[18, 18, 26, 26, 34];[16, 238, 11, 230, 6];[27, 32, 51, 32, 27];[7, 0, 2, 0, 7]
2;0;16/10/17;[16, 16, 28];[22, 355, 6];[27, 32, 27];[7, 0, 7]
2;0;17/10/17;[32, 32, 36, 38];[3, 121, 66, 7];[24, 32, 54, 24];[7, 0, 3, 7]
2;0;18/10/17;[16, 16, 16, 28, 28];[9, 2, 350, 7, 9];[27, 34, 32, 34, 27];[7, 4, 0, 4, 7]
2;0;19/10/17;[28, 28, 35];[10, 210, 6];[27, 32, 27];[7, 0, 7]
2;0;20/10/17;[18, 18, 28];[12, 312, 15];[27, 32, 27];[7, 0, 7]
2;0;23/10/17;[14, 14, 19, 25];[3, 150, 191, 6];[27, 32, 54, 27];[7, 0, 3, 7]
2;0;24/10/17;[28, 28, 34];[4, 177, 10];[24, 32, 24];[7, 0, 7]
2;0;25/10/17;[16, 16, 16, 28, 28];[6, 6, 355, 9, 10];[27, 34, 32, 34, 27];[7, 4, 0, 4, 7]
2;0;26/10/17;[30, 30, 34, 36];[10, 118, 52, 11];[27, 32, 33, 27];[7, 0, 1, 7]
2;0;27/10/17;[16, 16, 17, 18, 26];[11, 27, 44, 228, 10];[27, 51, 18, 32, 27];[7, 2, 6, 0, 7]
2;0;30/10/17;[16, 16, 26, 27];[20, 282, 40, 8];[27, 32, 54, 27];[7, 0, 3, 7]
2;0;31/10/17;[28, 28, 29, 35];[7, 46, 181, 10];[24, 32, 18, 24];[7, 0, 6, 7]
2;0;01/11/17;[12, 12, 12, 33, 33];[6, 10, 614, 5, 9];[27, 34, 32, 34, 27];[7, 4, 0, 4, 7]
2;0;03/11/17;[14, 14, 19, 20, 31];[16, 148, 44, 318, 9];[27, 32, 51, 32, 27];[7, 0, 2, 0, 7]
2;0;06/11/17;[16, 16, 29];[8, 394, 3];[27, 32, 27];[7, 0, 7]
2;0;07/11/17;[28, 28, 36];[5, 239, 7];[24, 32, 24];[7, 0, 7]
2;0;08/11/17;[14, 14, 14, 29, 29];[11, 12, 445, 5, 5];[27, 34, 32, 34, 27];[7, 4, 0, 4, 7]
2;0;09/11/17;[28, 28, 41];[7, 384, 10];[27, 32, 27];[7, 0, 7]
2;0;10/11/17;[14, 14, 25];[8, 327, 6];[27, 32, 27];[7, 0, 7]
2;0;13/11/17;[14, 14, 21, 27];[8, 215, 195, 4];[27, 32, 43, 27];[7, 0, 5, 7]
2;0;14/11/17;[32, 32, 37, 40];[12, 164, 68, 12];[24, 32, 18, 24];[7, 0, 6, 7]
2;0;15/11/17;[10, 10, 10, 15, 19, 23, 23];[9, 10, 150, 105, 130, 2, 4];[27, 34, 32, 31, 18, 34, 27];[7, 4, 0, 0, 6, 4, 7]
2;0;16/11/17;[30, 30, 38];[7, 253, 6];[27, 32, 27];[7, 0, 7]
2;0;17/11/17;[16, 16, 26];[10, 314, 9];[27, 32, 27];[7, 0, 7]
2;0;20/11/17;[14, 14, 26];[10, 350, 12];[27, 32, 27];[7, 0, 7]
2;0;21/11/17;[30, 30, 36];[3, 181, 12];[24, 32, 24];[7, 0, 7]
